,job title,company,region,skills required,is remote?,is fresher?
423,Data analyst,Export Genius,Remote in New Delhi,Database,Yes,NA
424,Data analyst,American Express Global Business Travel,Remote in India,,Yes,Yes
425,Data analyst,Genpact,Bengaluru,,No,NA
426,Data analyst,AMBC,Remote in Bengaluru,,Yes,No
427,Data analyst,JLL,Bengaluru,,No,NA
428,Data analyst,BOLD LLC,Noida,,No,NA
429,Data analyst,Grazitti,Mohali,,No,No
430,Data analyst,Xogene Services LLC,Remote,,Yes,NA
431,Data analyst,BIG IT JOBS,Gurgaon,Data Structure,No,NA
432,Data analyst,Simcorp,Noida,,No,NA
433,Data analyst,Manya Education Pvt Ltd,New Delhi,,No,NA
434,Data analyst,Warner Bros. Discovery,Hyderabad,,No,NA
435,Data analyst,Renault Group,Chennai,,No,Yes
436,Data analyst,Cibirix,Indore,,No,NA
437,Data analyst,Kroll,Mumbai,Data Visualization,No,No
438,Data analyst,Agarwal Job Placement,Surat,,No,No
439,Data analyst,Sai Computers Limited,Meerut,,No,NA
440,Data analyst,Ultimez,Hubli," Sql , Database",No,No
441,Data analyst,FIS Global,Bengaluru,,No,No
442,Data analyst,MMStartup,Chennai,Stat,No,No
443,Data analyst,CSB Bank,Ernakulam,,No,NA
444,Data analyst,Virtual Binz,Udaipur,,No,No
445,Data analyst,FactEntry,Vellore,,No,No
